mca_1,mca_2,dataset_short_name,session_id,subject_id,behavioral_context,recording_profile_group,recommended_analysis_type,duplicate_profile_count,mca_1_plot,mca_2_plot,categorical_cluster
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-10-09,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4023503858511894,-3.2162273363464733,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-10-10,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4283866086314227,-3.2104083132623096,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-10-23,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5401482929774164,-3.3626631079875815,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-10-24,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4357280304107367,-3.378956556615852,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-06,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.47791335051639,-3.231386027545597,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-07,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.6121046186624266,-3.4368652254884524,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-08,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4796652371546273,-3.4198797324414394,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-09,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.567167600316908,-3.29683542734985,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-10,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.433476940438751,-3.3798699807537402,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-13,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.491731350210131,-3.348711320262579,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-14,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.432164590446695,-3.3613770028069343,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-15,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4810437087674964,-3.3212956070210584,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26019_2020-01-16,26019,open field / navigation,spike_behavior,spike-behavior analysis,93,2.575391005836133,-3.2357030220198757,0
