dataset_short_name,session_id,subject_id,metadata_profile_label,cluster,pca_1,pca_2
openfield_ca1,25398_2019-10-09,25398,navigation/open-field ephys profile,0,-1.1330865791973104,-2.6049379043649403
openfield_ca1,25398_2019-10-10,25398,navigation/open-field ephys profile,0,-1.160703091849997,-2.5525484701849046
openfield_ca1,25398_2019-10-23,25398,navigation/open-field ephys profile,0,-1.1023207940594855,-2.555496226441686
openfield_ca1,25398_2019-10-24,25398,navigation/open-field ephys profile,0,-1.2250737104277554,-2.5276941383883855
openfield_ca1,26019_2020-01-06,26019,navigation/open-field ephys profile,0,-1.2151858463163143,-2.4947093263096534
openfield_ca1,26019_2020-01-07,26019,navigation/open-field ephys profile,0,-1.2039921422480375,-2.457368377749303
openfield_ca1,26019_2020-01-08,26019,navigation/open-field ephys profile,0,-1.2030223360820167,-2.4541332125226716
openfield_ca1,26019_2020-01-09,26019,navigation/open-field ephys profile,0,-1.2096726474053328,-2.476317909520158
openfield_ca1,26019_2020-01-10,26019,navigation/open-field ephys profile,0,-1.2187319025514827,-2.5065385744889763
openfield_ca1,26019_2020-01-13,26019,navigation/open-field ephys profile,0,-1.2118245510673546,-2.4834964201776013
openfield_ca1,26019_2020-01-14,26019,navigation/open-field ephys profile,0,-1.2055733608105887,-2.462643146552083
openfield_ca1,26019_2020-01-15,26019,navigation/open-field ephys profile,0,-1.2021552681662921,-2.451240770642673
openfield_ca1,26019_2020-01-16,26019,navigation/open-field ephys profile,0,-1.2019686742559446,-2.4506183141648648
openfield_ca1,26019_2020-01-17,26019,navigation/open-field ephys profile,0,-1.2128232347357066,-2.4868279175318753
openfield_ca1,26019_2020-01-20,26019,navigation/open-field ephys profile,0,-1.1974980256753955,-2.435704729022767
openfield_ca1,26019_2020-01-21,26019,navigation/open-field ephys profile,0,-1.2011629146515908,-2.4479303899750993
openfield_ca1,26019_2020-01-22,26019,navigation/open-field ephys profile,0,-1.2105199069759467,-2.4791442729697
openfield_ca1,26019_2020-01-23,26019,navigation/open-field ephys profile,0,-1.2210205571513535,-2.514173271025966
openfield_ca1,26019_2020-01-27,26019,navigation/open-field ephys profile,0,-1.21337341723146,-2.488663264986786
openfield_ca1,26019_2020-01-29,26019,navigation/open-field ephys profile,0,-1.1998118232078743,-2.4434232995792473
openfield_ca1,26019_2020-01-30,26019,navigation/open-field ephys profile,0,-1.1999706773718917,-2.443953219356562
openfield_ca1,26191_2020-04-01,26191,navigation/open-field ephys profile,0,-1.2296413162467927,-2.542931162066365
openfield_ca1,26191_2020-04-02,26191,navigation/open-field ephys profile,0,-1.226205645020608,-2.5314701459679663
openfield_ca1,26191_2020-04-03,26191,navigation/open-field ephys profile,0,-1.2271188649205482,-2.534516545720896
openfield_ca1,26191_2020-04-04,26191,navigation/open-field ephys profile,0,-1.2184622611643132,-2.5056390808891247
openfield_ca1,26191_2020-04-05,26191,navigation/open-field ephys profile,0,-1.2190577621451995,-2.507625605756968
openfield_ca1,26191_2020-04-07,26191,navigation/open-field ephys profile,0,-1.2117246264354602,-2.48316308274821
openfield_ca1,26191_2020-04-09,26191,navigation/open-field ephys profile,0,-1.2198914726173185,-2.5104067709247935
openfield_ca1,26191_2020-04-10,26191,navigation/open-field ephys profile,0,-1.2204930670019667,-2.5124136227081086
openfield_ca1,26191_2020-04-14,26191,navigation/open-field ephys profile,0,-1.2158827295460801,-2.497034051054611
openfield_ca1,26191_2020-04-15,26191,navigation/open-field ephys profile,0,-1.2148077141083853,-2.4934479194295753
openfield_ca1,26191_2020-04-16,26191,navigation/open-field ephys profile,0,-1.2172878566495557,-2.5017213983858975
openfield_ca1,26191_2020-04-17,26191,navigation/open-field ephys profile,0,-1.226285833995876,-2.531737647447576
openfield_ca1,26191_2020-04-20,26191,navigation/open-field ephys profile,0,-1.2183353216259774,-2.505215624744281
openfield_ca1,26191_2020-04-21,26191,navigation/open-field ephys profile,0,-1.2296521893452348,-2.5429674335103076
openfield_ca1,26191_2020-04-23,26191,navigation/open-field ephys profile,0,-1.2022694575044282,-2.451621693541425
openfield_ca1,26191_2020-04-24,26191,navigation/open-field ephys profile,0,-1.2117794037918437,-2.483345813900876
openfield_ca1,26191_2020-04-25,26191,navigation/open-field ephys profile,0,-1.2152562117754293,-2.4949440576348008
openfield_ca1,26191_2020-04-27,26191,navigation/open-field ephys profile,0,-1.2076765210732423,-2.469659054664615
