dataset_short_name,dataset_name,source_type,source_format,session_id,subject_id,session_date,recording_system,behavioral_context,extraction_success,n_files,file_extensions,recording_duration_s,n_units,n_spiketrains,n_spikes_total,raw_spike_events_total,sorted_units_mclust,sorted_unit_spikes_total_mclust,n_lfp_channels,n_electrodes,n_trials,n_event_objects,n_event_times_total,n_position_samples,sampling_rates_hz,brain_regions,unit_source,has_subject_metadata,has_session_metadata,has_session_date,has_recording_duration,has_spike_metadata,has_unit_metadata,has_sorted_unit_metadata,has_lfp_metadata,has_trial_metadata,has_event_metadata,has_position_metadata,has_sampling_rate_metadata,has_brain_region_metadata,has_standardized_format,has_openminds_candidate_metadata,error,species,sex,institution,experimenter,electrode_columns,unit_columns,file_size_mb,metadata_completeness_score,ephys_richness_score,behavior_richness_score,openminds_readiness_score,log_n_units,log_n_spikes_total,log_raw_spike_events_total,log_n_lfp_channels,log_n_electrodes,log_n_trials,log_n_event_times_total,metadata_profile_label,pca_1,pca_2,cluster
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24101_2018-05-08,24101,2018-05-08,Neuralynx,open field / navigation,True,46.0,.ncs; .ntt; .clusters; .t64; .fd; .nvt,1777.0,12,12,26735.0,869684.0,12.0,26735.0,14.0,0.0,0,0.0,0.0,0.0,2000.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,,,,,,,,0.0,0.6363636363636364,0.8333333333333334,0.0,0.6666666666666666,2.5649493574615367,10.193766250835175,13.675886356102456,2.70805020110221,0.0,0.0,0.0,spike+LFP ephys profile,-0.45983904813335835,-3.27726011670576,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24116_2018-04-03,24116,2018-04-03,Axona,open field / navigation,True,27.0,.1; .2; .3; .4; .eeg; .eeg2; .eeg3; .eeg4; .pos; .set; .clusters; .t64; .fd,1201.0,8,8,8230.0,66406.0,8.0,8230.0,4.0,0.0,0,0.0,0.0,60050.0,250.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,,,,,,,,0.0,0.7272727272727273,0.8333333333333334,0.3333333333333333,0.6666666666666666,2.1972245773362196,9.015662792972645,11.103557751594797,1.6094379124341003,0.0,0.0,0.0,navigation/open-field ephys profile,-1.1113909446320567,-2.4295852785906833,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24116_2018-04-05,24116,2018-04-05,Axona,open field / navigation,True,27.0,.1; .2; .3; .4; .eeg; .eeg2; .eeg3; .eeg4; .pos; .set; .clusters; .jpg; .t64; .fd,1201.0,7,7,4206.0,49144.0,7.0,4206.0,4.0,0.0,0,0.0,0.0,60050.0,250.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,,,,,,,,0.0,0.7272727272727273,0.8333333333333334,0.3333333333333333,0.6666666666666666,2.0794415416798357,8.344505083590521,10.80253039100073,1.6094379124341003,0.0,0.0,0.0,navigation/open-field ephys profile,-1.1020284629275405,-2.4246381551376905,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24116_2018-04-06,24116,2018-04-06,Axona,open field / navigation,True,26.0,.1; .2; .3; .4; .eeg; .eeg2; .eeg3; .eeg4; .pos; .set; .clusters; .t64; .fd,1800.0,11,11,12870.0,61825.0,11.0,12870.0,4.0,0.0,0,0.0,0.0,90000.0,250.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,,,,,,,,0.0,0.7272727272727273,0.8333333333333334,0.3333333333333333,0.6666666666666666,2.4849066497880004,9.462731997649378,11.032079266945424,1.6094379124341003,0.0,0.0,0.0,navigation/open-field ephys profile,-1.1327942534542037,-2.3996083118810034,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24116_2018-04-19,24116,2018-04-19,Axona,open field / navigation,True,69.0,.1; .2; .3; .4; .eeg; .eeg2; .eeg3; .eeg4; .pos; .set; .clusters; .t64; .fd,1560.0,4,4,0.0,27883.0,0.0,0.0,4.0,0.0,0,0.0,0.0,78005.0,250.0,,"Axona spike channels, not sorted units",True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,,,,,,,,0.0,0.7272727272727273,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.6094379124341003,0.0,10.23580832660629,1.6094379124341003,0.0,0.0,0.0,navigation/open-field ephys profile,-1.1313656767753497,-2.450706953628975,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24116_2018-04-20,24116,2018-04-20,Axona,open field / navigation,True,83.0,.1; .2; .3; .4; .eeg; .eeg2; .eeg3; .eeg4; .pos; .set; .clusters; .t64; .fd,1561.0,4,4,0.0,15322.0,0.0,0.0,4.0,0.0,0,0.0,0.0,78050.0,250.0,,"Axona spike channels, not sorted units",True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,,,,,,,,0.0,0.7272727272727273,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.6094379124341003,0.0,9.637110246578176,1.6094379124341003,0.0,0.0,0.0,navigation/open-field ephys profile,-1.1214973950693392,-2.4177874662711223,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24116_2018-04-22,24116,2018-04-22,Axona,open field / navigation,True,87.0,.1; .2; .3; .4; .eeg; .eeg2; .eeg3; .eeg4; .pos; .set; .clusters; .t64; .fd,1800.0,4,4,0.0,25764.0,0.0,0.0,4.0,0.0,0,0.0,0.0,90000.0,250.0,,"Axona spike channels, not sorted units",True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,,,,,,,,0.0,0.7272727272727273,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.6094379124341003,0.0,10.156772260762324,1.6094379124341003,0.0,0.0,0.0,navigation/open-field ephys profile,-1.130062933057437,-2.4463611458551426,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24116_2018-04-25,24116,2018-04-25,Axona,open field / navigation,True,98.0,.1; .2; .3; .4; .eeg; .eeg2; .eeg3; .eeg4; .pos; .set; .clusters; .t64; .fd,2073.0,4,4,0.0,23627.0,0.0,0.0,4.0,0.0,0,0.0,0.0,103650.0,250.0,,"Axona spike channels, not sorted units",True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,,,,,,,,0.0,0.7272727272727273,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.6094379124341003,0.0,10.070187728427126,1.6094379124341003,0.0,0.0,0.0,navigation/open-field ephys profile,-1.128635768707041,-2.441600284725505,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24116_2018-04-26,24116,2018-04-26,Axona,open field / navigation,True,101.0,.1; .2; .3; .4; .eeg; .eeg2; .eeg3; .eeg4; .pos; .set; .clusters; .t64; .fd,1499.0,4,4,0.0,18990.0,0.0,0.0,4.0,0.0,0,0.0,0.0,74950.0,250.0,,"Axona spike channels, not sorted units",True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,,,,,,,,0.0,0.7272727272727273,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.6094379124341003,0.0,9.851720461714246,1.6094379124341003,0.0,0.0,0.0,navigation/open-field ephys profile,-1.1250347941868557,-2.4295878352713136,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24116_2018-04-27,24116,2018-04-27,Axona,open field / navigation,True,113.0,.1; .2; .3; .4; .eeg; .eeg2; .eeg3; .eeg4; .pos; .set; .clusters; .t64; .fd,1501.0,4,4,0.0,15243.0,0.0,0.0,4.0,0.0,0,0.0,0.0,75050.0,250.0,,"Axona spike channels, not sorted units",True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,,,,,,,,0.0,0.7272727272727273,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.6094379124341003,0.0,9.63194126199375,1.6094379124341003,0.0,0.0,0.0,navigation/open-field ephys profile,-1.1214121952036396,-2.417503249019796,0
