dataset_short_name,session_id,subject_id,behavioral_context,brain_region,n_units,total_spikes,median_firing_rate_hz,mean_firing_rate_hz,std_firing_rate_hz,active_unit_fraction_0_1hz,active_unit_fraction_1hz,median_duration_s,min_duration_s,max_duration_s,extraction_methods
nwb_ca1,29629_2024-Oct-30_05-40-15,29629_Karri,sleep,HP - CA1; LEC,1009,14068363,0.5310208482474974,1.220049647205834,2.5667205643252555,0.929633300297324,0.31615460852329036,11434.933969023914,6529.494066666667,11443.9858,nwb_units_spike_times
nwb_ca1,29629_2024-Oct-30_15-13-05,29629_Karri,"OF, OBJ",HP - CA1; LEC,396,2204012,1.3596021172678503,2.8056015739647635,4.975747659236476,0.9595959595959596,0.6287878787878788,1985.2234381334606,64.89929999999993,1987.996130761733,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-17_07-08-26,29630_Juniper,sleep,LEC; MEC - Layer 2,2728,33141664,1.1406954645233514,2.2402718341321664,5.102587343978632,0.8658357771260997,0.5058651026392962,5487.014027205138,769.7727871199802,5498.97782207056,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-17_09-22-08,29630_Juniper,"OF, OBJ",LEC; MEC - Layer 2,2119,10789888,1.1322755875566677,6.3727589052806035,177.8850324302891,0.9839546956111374,0.5469561113732893,2035.6201167589008,0.00036666666665041703,2037.9958000000001,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-17_13-26-08,29630_Juniper,seq1,LEC; MEC - Layer 2,6978,17076365,0.21799268819050444,0.8699527476610196,11.486396019147117,0.8296073373459444,0.16910289481226712,3206.3036698789733,0.008499966428985317,3422.989814066368,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-17_23-09-30,29630_Juniper,sleep,LEC; MEC - Layer 2,2776,36193593,1.0299253730931694,1.8231949710285722,4.655916693931146,0.8886887608069164,0.47262247838616717,7268.716733333334,642.2542,7310.515766666666,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-18_10-18-21,29630_Juniper,"OF, OBJ",LEC; MEC - Layer 2,1918,8423685,1.149840655277791,2.1715761928321626,4.072780693835696,0.9807090719499478,0.5505735140771637,2032.0537077071347,241.80436666666668,2033.9890203338762,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-18_14-20-12,29630_Juniper,seq2,LEC; MEC - Layer 2,4732,7727046,0.35059889463131966,0.8077701113267287,1.753807548279752,0.9247675401521556,0.20857988165680474,1989.5432666666666,855.2949333333333,2041.9973333333332,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-18_15-19-16,29630_Juniper,"OF, OBJ",LEC; MEC - Layer 2,2246,7183054,0.8593194532894513,1.7107375803604015,3.2067482790903017,0.9888691006233303,0.43811219946571683,1869.8612456839544,23.75579917036339,1872.9990773395946,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-19_05-09-20,29630_Juniper,sleep,LEC; MEC - Layer 2,2195,36599896,0.9909283774401579,1.683160055081288,3.664894427467267,0.8168564920273349,0.414123006833713,10039.499633333333,1787.1135666666667,10050.832733333333,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-19_11-15-17,29630_Juniper,seq1,LEC; MEC - Layer 2,5029,9718141,0.2765476454623019,0.7130474816460852,1.5441296708938401,0.9043547424935375,0.19129051501292504,2670.16515,842.7204,2741.998633333333,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-20_09-49-05,29630_Juniper,"OF, OBJ",LEC; MEC - Layer 2,1749,5833375,0.898134482644565,1.7655216685078075,3.1925027657541527,0.9874213836477987,0.451114922813036,1888.791131712606,429.1208333333333,1890.9896333333334,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-20_10-32-21,29630_Juniper,seq1,LEC; MEC - Layer 2,5744,7885842,0.36150462970137454,0.7828369275299315,1.3606234463806375,0.9230501392757661,0.2214484679665738,1713.7963042441143,0.7717632029941797,1822.995,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-20_13-20-20,29630_Juniper,seq2,LEC; MEC - Layer 2,4461,7112129,0.4446936516078336,0.8558400274514194,1.5022857499022582,0.9455279085406859,0.2349249047298812,1689.7601897361938,96.17749150465625,2052.9903333333336,nwb_units_spike_times
nwb_ca1,29630_2024-Sep-24_14-25-53,29630_Juniper,seq2,LEC; MEC - Layer 2,6523,6543174,0.3536413310758639,0.6640535396203864,1.2379343907685727,0.9247278859420512,0.1589759313199448,1489.5869833333331,39.669299999999964,1554.9988666666668,nwb_units_spike_times
