PC1,PC2,dataset_short_name,session_id,subject_id,behavioral_context,source_level
-1.2388829731690387,0.45881482764652726,openfield_ca1,26019_2020-01-20,26019,open_field,session_summary_plus_mclust_units
-1.2334036144886205,0.4412933606544962,openfield_ca1,26019_2020-01-21,26019,open_field,session_summary_plus_mclust_units
-1.2361609257280293,0.45011047606632615,openfield_ca1,26019_2020-01-22,26019,open_field,session_summary_plus_mclust_units
-1.2420528504700605,0.46895121471991363,openfield_ca1,26019_2020-01-23,26019,open_field,session_summary_plus_mclust_units
-1.239806702734646,0.46176865820176927,openfield_ca1,26019_2020-01-27,26019,open_field,session_summary_plus_mclust_units
-1.2344708338629853,0.4447060317592395,openfield_ca1,26019_2020-01-29,26019,open_field,session_summary_plus_mclust_units
-1.2334036144886205,0.4412933606544962,openfield_ca1,26019_2020-01-30,26019,open_field,session_summary_plus_mclust_units
-1.2398260749074619,0.4618306050291907,openfield_ca1,26191_2020-04-01,26191,open_field,session_summary_plus_mclust_units
-1.2319569119411127,0.4366672077756877,openfield_ca1,26191_2020-04-02,26191,open_field,session_summary_plus_mclust_units
-1.2420528504700605,0.46895121471991363,openfield_ca1,26191_2020-04-03,26191,open_field,session_summary_plus_mclust_units
-1.2386227827560279,0.45798281098196647,openfield_ca1,26191_2020-04-04,26191,open_field,session_summary_plus_mclust_units
-1.2420347579468076,0.4688933598563305,openfield_ca1,26191_2020-04-05,26191,open_field,session_summary_plus_mclust_units
-1.239806702734646,0.46176865820176927,openfield_ca1,26191_2020-04-07,26191,open_field,session_summary_plus_mclust_units
-1.2405727469212695,0.4642182547172027,openfield_ca1,26191_2020-04-09,26191,open_field,session_summary_plus_mclust_units
-1.2397873190410607,0.46170667453412684,openfield_ca1,26191_2020-04-10,26191,open_field,session_summary_plus_mclust_units
-1.2420347579468076,0.4688933598563305,openfield_ca1,26191_2020-04-14,26191,open_field,session_summary_plus_mclust_units
-1.2388231133178644,0.45862341247046845,openfield_ca1,26191_2020-04-15,26191,open_field,session_summary_plus_mclust_units
-1.2420347579468076,0.4688933598563305,openfield_ca1,26191_2020-04-16,26191,open_field,session_summary_plus_mclust_units
