dataset_name,file_name,relative_path,file_extension,file_size_mb,rat_id,subject_id,session_date,session_id,data_label,possible_signal_type,neo_attempted,neo_success,neo_error,neo_io_class,neo_loading_mode,n_segments,n_analogsignals,n_spiketrains,n_events,n_epochs,sampling_rates_hz,units,durations_s,pickle_attempted,pickle_success,pickle_error,nwb_attempted,nwb_success,nwb_error,notes
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181029.pkl,neo_rat-16_181029.pkl,.pkl,279.602,rat-16,rat-16,181029,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181029_lfps.nio,neo_rat-16_181029_lfps.nio,.nio,1752.928,rat-16,rat-16,181029,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-26_190625.pkl,neo_rat-26_190625.pkl,.pkl,103.002,rat-26,rat-26,190625,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-26_190625_lfps.nio,neo_rat-26_190625_lfps.nio,.nio,707.779,rat-26,rat-26,190625,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-26_190626.pkl,neo_rat-26_190626.pkl,.pkl,144.769,rat-26,rat-26,190626,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-26_190626_lfps.nio,neo_rat-26_190626_lfps.nio,.nio,1035.841,rat-26,rat-26,190626,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-26_190627.pkl,neo_rat-26_190627.pkl,.pkl,92.614,rat-26,rat-26,190627,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-26_190627_lfps.nio,neo_rat-26_190627_lfps.nio,.nio,718.404,rat-26,rat-26,190627,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-26_190702.pkl,neo_rat-26_190702.pkl,.pkl,245.921,rat-26,rat-26,190702,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-26_190702_lfps.nio,neo_rat-26_190702_lfps.nio,.nio,1678.552,rat-26,rat-26,190702,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-27_191128.pkl,neo_rat-27_191128.pkl,.pkl,112.296,rat-27,rat-27,191128,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-27_191128_lfps.nio,neo_rat-27_191128_lfps.nio,.nio,872.375,rat-27,rat-27,191128,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-27_191204.pkl,neo_rat-27_191204.pkl,.pkl,227.959,rat-27,rat-27,191204,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-27_191204_lfps.nio,neo_rat-27_191204_lfps.nio,.nio,1080.091,rat-27,rat-27,191204,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-27_191209.pkl,neo_rat-27_191209.pkl,.pkl,336.335,rat-27,rat-27,191209,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-27_191209_lfps.nio,neo_rat-27_191209_lfps.nio,.nio,2509.677,rat-27,rat-27,191209,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-27_191210.pkl,neo_rat-27_191210.pkl,.pkl,239.635,rat-27,rat-27,191210,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-27_191210_lfps.nio,neo_rat-27_191210_lfps.nio,.nio,1528.404,rat-27,rat-27,191210,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
