dataset,session_id,subject_id,analysis,contrast,effect_size_cliffs_delta,p_value,n_group_a,n_group_b,n_trials,status,evidence_level,spearman_r,p_value_bh
TouchAndSee object-memory,Taskmaster_samp10_2012-01-15,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp10_2012-01-15,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp10_2012-01-15,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp11_2012-01-16,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp11_2012-01-16,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp11_2012-01-16,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp12_2012-01-17,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp12_2012-01-17,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp12_2012-01-17,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp13_2012-01-18,Taskmaster,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp13_2012-01-18,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp13_2012-01-18,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp14_2011-12-22,Taskmaster,memory_vs_normal_trial_activity,memory - normal,,,0.0,5.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp14_2011-12-22,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Taskmaster_samp14_2011-12-22,Taskmaster,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp15_2011-12-23,Taskmaster,memory_vs_normal_trial_activity,memory - normal,,,0.0,5.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Taskmaster_samp15_2011-12-23,Taskmaster,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,,4.0,1.0,5,insufficient_groups,trial_segment_summary,,
