session_id,subject_id,context,status,n_units_available,fixed_units,n_repeats_ok,toi_median,toi_mean,toi_std,duration_s_median,n_bins_median,description,curve_mean_distance,curve_initial_distance,curve_final_distance,curve_early_mean,curve_late_mean,curve_late_minus_early,curve_auc,curve_slope_raw,repeat_toi_mean,repeat_toi_median,repeat_toi_std,repeat_toi_q25,repeat_toi_q75,repeat_toi_iqr,ml_label
27963_2022-Feb-10_11-06-56,27963_Hemlock,object_context,ok,1355,50,50,0.00167088544339,0.0016805723709685,0.0001380955981732,1841.4933,185.0,"OF, obj, obj, obj",0.9187098054646607,0.6203173425187856,1.0019145058577887,0.7829731712153953,1.0178720211358865,0.23489884992049115,0.924372641321312,0.0015687587219106259,0.0016805723709684716,0.00167088544339005,0.00013809559817325848,0.00156780264111375,0.0017902245238191,0.00022242188270535,object_context
27963_2022-Feb-10_14-07-47,27963_Hemlock,object_context,ok,1288,50,50,0.0017216165912159,0.0017125856680827,0.0001626209757687,1877.9818333333333,188.0,"OF, obj, obj, obj",0.914884398563544,0.5758017914682764,1.0211223626130823,0.7469810924821775,1.006854478740936,0.25987338625875844,0.9210118891700106,0.0017176763822593375,0.001712585668082668,0.00172161659121595,0.00016262097576871467,0.0016056187151866,0.00180345174811875,0.00019783303293215019,object_context
27963_2022-Feb-11_14-58-41,27963_Hemlock,open_field,ok,1033,50,50,0.0009411753167779,0.0009393465985473,0.0001372913229466,592.9962166666667,60.0,OF,0.9763291257637551,0.7616472113312579,1.0430535589647207,0.8567953990396191,1.0468816388639461,0.19008623982432704,0.9802227436909008,0.001316771070847999,0.0009393465985473101,0.0009411753167779,0.00013729132294666322,0.0008468190855148,0.0010310133427770501,0.00018419425726225018,open_field
28003_2022-Mar-07_20-44-03,28003_Ironwood,open_field,ok,886,50,50,0.0005267231284184,0.0005338560265305,8.146580611976128e-05,1463.9910168213005,147.0,"OF, LEC was likely deep layers",0.928603795123746,0.8108607141504258,0.9533842503584828,0.8890676167828954,0.9532838289379504,0.06421621215505502,0.9310501800116036,0.0004933798675856015,0.000533856026530458,0.00052672312841835,8.146580611976523e-05,0.000494601401818675,0.00056996173370355,7.536033188487495e-05,open_field
28003_2022-Mar-08_11-22-53,28003_Ironwood,open_field,ok,1191,50,50,0.0011602439268464,0.0011416912173413,0.0001525614129655,798.9882332675804,80.0,OF,0.9567758711118861,0.7349280040953341,1.0484660143622184,0.8493413749379009,1.043798211916357,0.19445683697845606,0.9602010743688916,0.0012368317271614893,0.00114169121734127,0.0011602439268464,0.00015256141296560288,0.001057724752571825,0.0012365769342505,0.00017885218167867489,open_field
28003_2022-Mar-08_11-38-59,28003_Ironwood,open_field,ok,1055,50,50,0.0013374154078378,0.0013306539510301,0.0001550212329374,723.99095,73.0,OF,0.9321831040041119,0.7497052531807039,1.0742047562566346,0.8109622146506883,1.0169425712215585,0.20598035657087022,0.9332477408086088,0.0014038384431035123,0.001330653951030102,0.00133741540783785,0.0001550212329374853,0.001217180445642975,0.001468592962571075,0.00025141251692810005,open_field
28003_2022-Mar-08_15-04-04,28003_Ironwood,object_context,ok,1383,50,50,0.0010407739625097,0.0010392430629555,9.68149623613002e-05,1861.9825270353715,187.0,object events,0.92725553657821,0.6729617364673294,0.985030570319852,0.8183147725395727,0.9885856972782774,0.17027092473870464,0.932427083061611,0.0011107185532871144,0.001039243062955544,0.0010407739625097,9.681496236129588e-05,0.000984106750989225,0.0011082143900747752,0.00012410763908555014,object_context
28003_2022-Mar-09_07-54-00,28003_Ironwood,sleep,ok,1598,50,50,0.0014209390504579,0.0014186536566708,6.849390899958781e-05,9943.8959,995.0,sleep,0.8296119775344415,0.5876144194958243,0.9350660016045368,0.7047497519704173,0.9171570617646262,0.21240730979420885,0.83320522842835,0.0014048365182852604,0.0014186536566707642,0.0014209390504579,6.849390899958624e-05,0.001381250573909,0.0014635179623778251,8.226738846882505e-05,sleep
28003_2022-Mar-10_10-53-58,28003_Ironwood,object_context,ok,834,50,50,0.001326295586698,0.0013184097857091,9.174407921313828e-05,1860.9936115716976,187.0,object events,0.8469443727563772,0.6296334935148747,0.9149448277734692,0.7348287983939236,0.9345427554613532,0.19971395706742967,0.8508735944464934,0.0013355933506547797,0.0013184097857091037,0.0013262955866980499,9.174407921313889e-05,0.0012447396787954,0.001387586688246925,0.00014284700945152505,object_context
29629_2024-Oct-29_15-05-13,29629_Karri,object_context,ok,377,50,50,0.0013117345006827,0.0013180885456531,0.0001326461661084,2074.965366666667,208.0,"OF, OBJ",0.828768250588918,0.5656937725282447,0.9404057377198608,0.7104401251046724,0.9153192085707829,0.2048790834661105,0.8327534345607528,0.0014031376589096977,0.001318088545653086,0.0013117345006826999,0.0001326461661084569,0.001222547905620425,0.001414461248757075,0.0001919133431366499,object_context
29629_2024-Oct-30_05-40-15,29629_Karri,sleep,ok,1009,50,50,0.0011932301607542,0.0011861434668365,7.707034752332107e-05,11443.983210599768,1145.0,sleep,0.7475441456106704,0.5551783731520812,0.843729492865626,0.6409979132630422,0.8254744470789872,0.18447653381594498,0.7500752094318187,0.0012329710024018847,0.001186143466836546,0.0011932301607542,7.707034752332719e-05,0.0011313024463304,0.001233255405805075,0.00010195295947467505,sleep
29629_2024-Oct-30_15-13-05,29629_Karri,object_context,ok,396,50,50,0.0020042691651271,0.0020018028111885,0.0001607317269985,1987.981585831713,199.0,"OF, OBJ",0.8814078441327533,0.6240725738743182,1.0265180627024264,0.737111511954011,0.9995683630878098,0.2624568511337988,0.8843611349666682,0.0017465448825956938,0.002001802811188498,0.00200426916512705,0.00016073172699855752,0.00190718218020365,0.00211637243500315,0.0002091902547994998,object_context
29630_2024-Sep-17_07-08-26,29630_Juniper,sleep,ok,2727,50,50,0.0009631591992552,0.0009669769074566,8.845194389310594e-05,5498.994488695089,550.0,sleep,0.847214195164702,0.7077967001405142,0.9079932243415842,0.7673774794586585,0.9028914597391235,0.13551398028046502,0.8492836284764731,0.0009029860959778176,0.00096697690745658,0.00096315919925525,8.845194389311296e-05,0.0009070883196040001,0.00101929348131445,0.00011220516171044992,sleep
29630_2024-Sep-17_09-22-08,29630_Juniper,object_context,ok,2116,50,50,0.0013072572199717,0.0013254596300726,0.0001194663828376,2037.994840265105,204.0,"OF, OBJ",0.9164051525138133,0.7042285986942655,1.0040227522588503,0.8056983023236374,0.99556942607823,0.18987112375459259,0.9196830197263005,0.0012507033428737241,0.0013254596300726598,0.0013072572199717,0.00011946638283766597,0.001244042483454025,0.00141675465000395,0.0001727121665499251,object_context
29630_2024-Sep-17_23-09-30,29630_Juniper,sleep,ok,2776,50,50,0.0014556922134032,0.001456837494405,0.0001237792680158,7310.507047173942,732.0,sleep,0.848533628542681,0.6274076370573991,0.9442669741843166,0.7106329020562058,0.9402297680427928,0.22959686598658702,0.8518334350122505,0.0015053586635397822,0.0014568374944049919,0.00145569221340315,0.0001237792680158109,0.001371614684123325,0.001533553129481625,0.00016193844535830008,sleep
29630_2024-Sep-18_10-18-21,29630_Juniper,object_context,ok,1908,50,50,0.0014037403788968,0.0014048037192846,0.0001220709640283,2033.9846670136744,204.0,"OF, OBJ",0.93400420085275,0.6422238359291753,1.0134355282718202,0.8050220014778942,1.0052077810769755,0.20018577959908135,0.9395923334186581,0.001340988988199933,0.0014048037192845738,0.0014037403788968,0.00012207096402835793,0.00130474477889515,0.00150497491783745,0.00020023013894229997,object_context
29630_2024-Sep-18_15-19-16,29630_Juniper,object_context,ok,2245,50,50,0.0012068534116934,0.0012227518457458,0.0001115085606693,1872.9863278045136,188.0,"OF, OBJ",0.9113305085555578,0.6407157328206592,0.968210946787156,0.7865485343281431,0.9661200630248734,0.17957152869673032,0.9169550963845917,0.0012261312549173595,0.001222751845745826,0.00120685341169345,0.0001115085606693737,0.00115656137402485,0.0012811526309841749,0.00012459125695932498,object_context
29630_2024-Sep-19_05-09-20,29630_Juniper,sleep,ok,2195,50,50,0.0011011746292404,0.0011080326565428,9.832577408761929e-05,10050.987930644733,1006.0,sleep,0.8490857450086009,0.6969532860883757,0.918148517697905,0.7537304330489306,0.9229073825100972,0.16917694946116657,0.8512717893830991,0.0011141687863697376,0.001108032656542774,0.00110117462924035,9.832577408762542e-05,0.00104596407544315,0.001165912442435675,0.00011994836699252506,sleep
29630_2024-Sep-20_09-49-05,29630_Juniper,object_context,ok,1749,50,50,0.0017300178342534,0.0017301107793005,0.000128370557116,1890.987382997176,190.0,"OF, OBJ",0.9409805440569083,0.6639857020110063,1.062760298405104,0.7882168455602243,1.048042943450314,0.2598260978900897,0.9450651516279008,0.001790734661925955,0.001730110779300506,0.00173001783425345,0.00012837055711604014,0.00165714030258505,0.0017888010469586499,0.0001316607443735999,object_context
