dataset,analysis_family,session_id,subject_id,context,region,recording_system,recording_duration_s,recording_duration_min,sorted_units_mclust,sorted_unit_spikes_total_mclust,raw_spike_events_total,n_lfp_channels,has_position_metadata,has_sorted_unit_metadata,evidence_level
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-07-03,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,9,16780,640425,4,True,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-07-04,25398,open_field_continuous_foraging,CA1,Axona,1174.0,19.566666666666666,1,976,220312,4,True,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-07-30,25398,open_field_continuous_foraging,CA1,Axona,871.0,14.516666666666667,0,0,272400,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-07-31,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,2,4377,1497936,4,True,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-08-01,25398,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,426375,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-08-02,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,435530,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-08-07,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,474274,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-08-08,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,398839,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-08-09,25398,open_field_continuous_foraging,CA1,Axona,1397.0,23.283333333333335,0,0,208740,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-08-13,25398,open_field_continuous_foraging,CA1,Axona,1621.0,27.016666666666666,0,0,248082,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-08-14,25398,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,131019,4,True,False,continuous_reference
