dataset_short_name,session_id,subject_id,session_date,behavioral_context,recording_system,brain_region,source_file_or_folder,n_units,n_spikes_total,n_raw_spike_events,recording_duration_s,mean_firing_rate_hz,median_firing_rate_hz,n_trials,n_events_total,n_lfp_channels,n_position_samples,n_electrodes,has_position,source_level,detail_level
touchandsee,Taskmaster_samp5_2012-01-06,Taskmaster,2012-01-06,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp5\hbp-01681_TouchAndSee_Taskmaster_samp5__2012-01-06.pkl,4275,0,,,,,57,342,171,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp6_2012-01-10,Taskmaster,2012-01-10,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp6\hbp-01681_TouchAndSee_Taskmaster_samp6__2012-01-10.pkl,4992,0,,,,,78,468,234,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp7_2012-01-11,Taskmaster,2012-01-11,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp7\hbp-01681_TouchAndSee_Taskmaster_samp7__2012-01-11.pkl,6052,0,,,,,89,534,267,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp8_2012-01-12,Taskmaster,2012-01-12,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp8\hbp-01681_TouchAndSee_Taskmaster_samp8__2012-01-12.pkl,4800,0,,,,,75,450,225,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp9_2012-01-14,Taskmaster,2012-01-14,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp9\hbp-01681_TouchAndSee_Taskmaster_samp9__2012-01-14.pkl,3696,0,,,,,77,462,231,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp34_2012-09-14,Turing,2012-09-14,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp34\hbp-01681_TouchAndSee_Turing_samp34__2012-09-14.pkl,1092,0,,,,,52,312,156,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp35_2012-09-15,Turing,2012-09-15,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp35\hbp-01681_TouchAndSee_Turing_samp35__2012-09-15.pkl,48,0,,,,,2,12,6,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp36_2012-09-15,Turing,2012-09-15,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp36\hbp-01681_TouchAndSee_Turing_samp36__2012-09-15.pkl,980,0,,,,,49,294,147,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp37_2012-09-16,Turing,2012-09-16,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp37\hbp-01681_TouchAndSee_Turing_samp37__2012-09-16.pkl,780,0,,,,,78,468,234,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp38_2012-09-17,Turing,2012-09-17,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp38\hbp-01681_TouchAndSee_Turing_samp38__2012-09-17.pkl,864,0,,,,,48,288,144,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp39_2012-09-18,Turing,2012-09-18,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp39\hbp-01681_TouchAndSee_Turing_samp39__2012-09-18.pkl,650,0,,,,,65,390,195,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp40_2012-09-19,Turing,2012-09-19,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp40\hbp-01681_TouchAndSee_Turing_samp40__2012-09-19.pkl,345,0,,,,,23,138,69,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp41_2012-09-19,Turing,2012-09-19,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp41\hbp-01681_TouchAndSee_Turing_samp41__2012-09-19.pkl,234,0,,,,,26,156,78,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp42_2012-09-20,Turing,2012-09-20,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp42\hbp-01681_TouchAndSee_Turing_samp42__2012-09-20.pkl,378,0,,,,,27,162,81,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp43_2012-09-21,Turing,2012-09-21,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp43\hbp-01681_TouchAndSee_Turing_samp43__2012-09-21.pkl,1083,0,,,,,57,342,171,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp44_2012-09-22,Turing,2012-09-22,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp44\hbp-01681_TouchAndSee_Turing_samp44__2012-09-22.pkl,972,0,,,,,54,324,162,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp45_2012-09-25,Turing,2012-09-25,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp45\hbp-01681_TouchAndSee_Turing_samp45__2012-09-25.pkl,900,0,,,,,50,300,150,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Turing_samp46_2012-09-26,Turing,2012-09-26,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Turing\samp46\hbp-01681_TouchAndSee_Turing_samp46__2012-09-26.pkl,336,0,,,,,48,288,144,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
