dataset_short_name,session_id,subject_id,session_date,behavioral_context,recording_system,brain_region,source_file_or_folder,n_units,n_spikes_total,n_raw_spike_events,recording_duration_s,mean_firing_rate_hz,median_firing_rate_hz,n_trials,n_events_total,n_lfp_channels,n_position_samples,n_electrodes,has_position,source_level,detail_level,raw_session_description,spikes_per_unit,spikes_per_trial,events_per_trial,units_per_trial,mean_firing_rate_hz_filled,has_units,has_spikes,has_trials,has_events,has_lfp,has_duration,has_firing_rate,biological_table_completeness_score
openfield_ca1,24116_2018-04-26,24116,2018-04-26,open_field,Axona,CA1,data\24116\2018-04-26,4,0.0,18990.0,1499.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,24116_2018-04-27,24116,2018-04-27,open_field,Axona,CA1,data\24116\2018-04-27,4,0.0,15243.0,1501.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,24116_2018-04-30,24116,2018-04-30,open_field,Axona,CA1,data\24116\2018-04-30,4,0.0,32411.0,1702.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,24116_2018-05-02,24116,2018-05-02,open_field,Axona,CA1,data\24116\2018-05-02,4,0.0,18053.0,1506.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,24116_2018-05-03,24116,2018-05-03,open_field,Axona,CA1,data\24116\2018-05-03,4,0.0,13044.0,1383.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,24116_2018-05-04,24116,2018-05-04,open_field,Axona,CA1,data\24116\2018-05-04,4,0.0,9022.0,1321.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-04-29,25398,2019-04-29,open_field,Axona,CA1,data\25398\2019-04-29,8,0.0,471561.0,1800.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-04-30,25398,2019-04-30,open_field,Axona,CA1,data\25398\2019-04-30,8,0.0,346213.0,1475.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-05-01,25398,2019-05-01,open_field,Axona,CA1,data\25398\2019-05-01,8,0.0,129195.0,1441.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,25398_2019-05-02,25398,2019-05-02,open_field,Axona,CA1,data\25398\2019-05-02,8,0.0,541354.0,1381.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
