dataset_short_name,session_id,subject_id,session_date,behavioral_context,raw_session_description,recording_system,brain_region,source_file_or_folder,n_units,n_spikes_total,n_raw_spike_events,recording_duration_s,mean_firing_rate_hz,median_firing_rate_hz,n_trials,n_events_total,n_lfp_channels,n_position_samples,n_electrodes,has_position,source_level,detail_level
nwb_ca1,28003_2022-Mar-08_11-22-53,28003_Ironwood,2022-03-08,open_field,OF,NWB / Neuropixels,LEC; HP - CA1; MEC - Layer 2,data\28003\28003_2022-Mar-08_11-22-53.nwb,1193,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,28003_2022-Mar-08_11-38-59,28003_Ironwood,2022-03-08,open_field,OF,NWB / Neuropixels,LEC; HP - CA1; MEC - Layer 2,data\28003\28003_2022-Mar-08_11-38-59.nwb,1056,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,28003_2022-Mar-08_15-04-04,28003_Ironwood,2022-03-08,open_field_object,object events,NWB / Neuropixels,LEC; HP - CA1; MEC - Layer 2,data\28003\28003_2022-Mar-08_15-04-04.nwb,1386,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,28003_2022-Mar-09_07-54-00,28003_Ironwood,2022-03-09,sleep,sleep,NWB / Neuropixels,LEC; HP - CA1; MEC - Layer 2,data\28003\28003_2022-Mar-09_07-54-00.nwb,1598,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,28003_2022-Mar-10_10-53-58,28003_Ironwood,2022-03-10,open_field_object,object events,NWB / Neuropixels,LEC; HP - CA1; MEC - Layer 2,data\28003\28003_2022-Mar-10_10-53-58.nwb,834,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,29629_2024-Oct-29_15-05-13,29629_Karri,2024-10-29,open_field_object,"OF, OBJ",NWB / Neuropixels,LEC; HP - CA1,data\29629\29629_2024-Oct-29_15-05-13.nwb,380,,,,,,0,1,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29629_2024-Oct-30_05-40-15,29629_Karri,2024-10-30,sleep,sleep,NWB / Neuropixels,LEC; HP - CA1,data\29629\29629_2024-Oct-30_05-40-15.nwb,1009,,,,,,0,1,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29629_2024-Oct-30_15-13-05,29629_Karri,2024-10-30,open_field_object,"OF, OBJ",NWB / Neuropixels,LEC; HP - CA1,data\29629\29629_2024-Oct-30_15-13-05.nwb,396,,,,,,0,1,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-17_07-08-26,29630_Juniper,2024-09-17,sleep,sleep,NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-17_07-08-26.nwb,2728,,,,,,0,1,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-17_09-22-08,29630_Juniper,2024-09-17,open_field_object,"OF, OBJ",NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-17_09-22-08.nwb,2119,,,,,,0,1,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-17_13-26-08,29630_Juniper,2024-09-17,sequence_task,seq1,NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-17_13-26-08.nwb,6978,,,,,,0,3,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-17_23-09-30,29630_Juniper,2024-09-17,sleep,sleep,NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-17_23-09-30.nwb,2776,,,,,,0,1,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-18_10-18-21,29630_Juniper,2024-09-18,open_field_object,"OF, OBJ",NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-18_10-18-21.nwb,1918,,,,,,0,1,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-18_14-20-12,29630_Juniper,2024-09-18,sequence_task,seq2,NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-18_14-20-12.nwb,4732,,,,,,0,3,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-18_15-19-16,29630_Juniper,2024-09-18,open_field_object,"OF, OBJ",NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-18_15-19-16.nwb,2246,,,,,,0,1,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-19_05-09-20,29630_Juniper,2024-09-19,sleep,sleep,NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-19_05-09-20.nwb,2195,,,,,,0,1,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-19_11-15-17,29630_Juniper,2024-09-19,sequence_task,seq1,NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-19_11-15-17.nwb,5029,,,,,,0,3,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-20_09-49-05,29630_Juniper,2024-09-20,open_field_object,"OF, OBJ",NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-20_09-49-05.nwb,1749,,,,,,0,1,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-20_10-32-21,29630_Juniper,2024-09-20,sequence_task,seq1,NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-20_10-32-21.nwb,5744,,,,,,0,3,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-20_13-20-20,29630_Juniper,2024-09-20,sequence_task,seq2,NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-20_13-20-20.nwb,4461,,,,,,0,3,0,,768,True,nwb_session_summary,session_only
nwb_ca1,29630_2024-Sep-24_14-25-53,29630_Juniper,2024-09-24,sequence_task,seq2,NWB / Neuropixels,LEC; MEC - Layer 2,data\29630\29630_2024-Sep-24_14-25-53.nwb,6523,,,,,,0,3,0,,768,True,nwb_session_summary,session_only
