dataset,session_id,subject_id,trial_number,trial_outcome,trial_side,trial_type,n_spikes_total,n_spiketrains,mean_spikes_per_spiketrain,n_events,n_event_times_total,record_level,activity
TouchAndSee object-memory,Ramachandran_samp31_2012-08-21,Ramachandran,2.0,incorrect,right,memory,0.0,48.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp31_2012-08-21,Ramachandran,3.0,correct,right,normal,0.0,48.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp31_2012-08-21,Ramachandran,4.0,correct,right,normal,0.0,48.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp31_2012-08-21,Ramachandran,5.0,correct,left,normal,0.0,48.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp32_2012-08-22,Ramachandran,1.0,incorrect,right,normal,0.0,28.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp32_2012-08-22,Ramachandran,2.0,incorrect,left,normal,0.0,28.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp32_2012-08-22,Ramachandran,3.0,correct,right,normal,0.0,28.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp32_2012-08-22,Ramachandran,4.0,correct,right,memory,0.0,28.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp32_2012-08-22,Ramachandran,5.0,correct,left,normal,0.0,28.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp33_2012-08-22,Ramachandran,2.0,correct,right,normal,0.0,12.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp33_2012-08-22,Ramachandran,3.0,correct,left,normal,0.0,12.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp33_2012-08-22,Ramachandran,4.0,incorrect,right,normal,0.0,12.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp33_2012-08-22,Ramachandran,5.0,incorrect,left,normal,0.0,12.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp33_2012-08-22,Ramachandran,6.0,incorrect,right,memory,0.0,12.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp1_2012-01-03,Taskmaster,1.0,incorrect,right,normal,0.0,56.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp1_2012-01-03,Taskmaster,2.0,incorrect,left,memory,0.0,56.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp1_2012-01-03,Taskmaster,3.0,correct,left,normal,0.0,56.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp1_2012-01-03,Taskmaster,4.0,incorrect,right,normal,0.0,56.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp1_2012-01-03,Taskmaster,5.0,incorrect,right,memory,0.0,56.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp10_2012-01-15,Taskmaster,1.0,incorrect,left,memory,0.0,66.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp10_2012-01-15,Taskmaster,2.0,correct,right,normal,0.0,66.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp10_2012-01-15,Taskmaster,3.0,correct,left,normal,0.0,66.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp10_2012-01-15,Taskmaster,4.0,correct,left,normal,0.0,66.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp10_2012-01-15,Taskmaster,5.0,incorrect,right,memory,0.0,66.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp11_2012-01-16,Taskmaster,1.0,correct,left,normal,0.0,66.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp11_2012-01-16,Taskmaster,2.0,correct,right,normal,0.0,66.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp11_2012-01-16,Taskmaster,3.0,incorrect,left,memory,0.0,66.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp11_2012-01-16,Taskmaster,5.0,incorrect,right,memory,0.0,66.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp11_2012-01-16,Taskmaster,6.0,incorrect,right,normal,0.0,66.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp12_2012-01-17,Taskmaster,1.0,incorrect,left,memory,0.0,43.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp12_2012-01-17,Taskmaster,2.0,correct,right,normal,0.0,43.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp12_2012-01-17,Taskmaster,3.0,correct,left,normal,0.0,43.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp12_2012-01-17,Taskmaster,4.0,incorrect,right,normal,0.0,43.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp12_2012-01-17,Taskmaster,5.0,incorrect,left,memory,0.0,43.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp13_2012-01-18,Taskmaster,1.0,incorrect,right,memory,0.0,50.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp13_2012-01-18,Taskmaster,2.0,correct,left,memory,0.0,50.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp13_2012-01-18,Taskmaster,3.0,incorrect,right,normal,0.0,50.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp13_2012-01-18,Taskmaster,4.0,incorrect,left,normal,0.0,50.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp13_2012-01-18,Taskmaster,5.0,incorrect,right,memory,0.0,50.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp14_2011-12-22,Taskmaster,2.0,incorrect,left,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp14_2011-12-22,Taskmaster,3.0,correct,right,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp14_2011-12-22,Taskmaster,4.0,correct,left,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp14_2011-12-22,Taskmaster,5.0,correct,right,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp14_2011-12-22,Taskmaster,6.0,incorrect,right,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp15_2011-12-23,Taskmaster,1.0,incorrect,left,normal,0.0,36.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp15_2011-12-23,Taskmaster,2.0,correct,right,normal,0.0,36.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp15_2011-12-23,Taskmaster,3.0,correct,left,normal,0.0,36.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp15_2011-12-23,Taskmaster,4.0,correct,right,normal,0.0,36.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp15_2011-12-23,Taskmaster,5.0,correct,left,normal,0.0,36.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp16_2011-12-24,Taskmaster,1.0,incorrect,left,normal,0.0,53.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp16_2011-12-24,Taskmaster,2.0,incorrect,right,normal,0.0,53.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp16_2011-12-24,Taskmaster,3.0,correct,left,normal,0.0,53.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp16_2011-12-24,Taskmaster,4.0,correct,right,normal,0.0,53.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp16_2011-12-24,Taskmaster,5.0,incorrect,left,memory,0.0,53.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp17_2011-12-25,Taskmaster,1.0,incorrect,left,normal,0.0,67.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp17_2011-12-25,Taskmaster,2.0,correct,right,normal,0.0,67.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp17_2011-12-25,Taskmaster,3.0,correct,right,normal,0.0,67.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp17_2011-12-25,Taskmaster,4.0,correct,left,normal,0.0,67.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp17_2011-12-25,Taskmaster,5.0,correct,right,normal,0.0,67.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp18_2011-12-29,Taskmaster,1.0,correct,right,memory,0.0,45.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp18_2011-12-29,Taskmaster,2.0,correct,left,normal,0.0,45.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp18_2011-12-29,Taskmaster,3.0,correct,right,memory,0.0,45.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp18_2011-12-29,Taskmaster,4.0,incorrect,right,normal,0.0,45.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp18_2011-12-29,Taskmaster,5.0,correct,left,normal,0.0,45.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp19_2011-12-30,Taskmaster,1.0,incorrect,right,normal,0.0,44.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp19_2011-12-30,Taskmaster,2.0,incorrect,left,memory,0.0,44.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp19_2011-12-30,Taskmaster,3.0,incorrect,right,normal,0.0,44.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp19_2011-12-30,Taskmaster,4.0,correct,left,normal,0.0,44.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp19_2011-12-30,Taskmaster,5.0,correct,right,memory,0.0,44.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp2_2012-01-03,Taskmaster,2.0,incorrect,left,memory,0.0,58.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp2_2012-01-03,Taskmaster,3.0,correct,right,normal,0.0,58.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp2_2012-01-03,Taskmaster,4.0,incorrect,right,memory,0.0,58.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp2_2012-01-03,Taskmaster,5.0,incorrect,right,normal,0.0,58.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp2_2012-01-03,Taskmaster,7.0,correct,right,normal,0.0,58.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp3_2012-01-04,Taskmaster,4.0,incorrect,left,memory,0.0,57.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp3_2012-01-04,Taskmaster,5.0,correct,left,normal,0.0,57.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp3_2012-01-04,Taskmaster,6.0,correct,right,normal,0.0,57.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp3_2012-01-04,Taskmaster,7.0,correct,left,memory,0.0,57.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp3_2012-01-04,Taskmaster,8.0,correct,right,normal,0.0,57.0,0.0,1.0,6.0,preview,0.0
