dataset_short_name,session_id,subject_id,metadata_profile_label,recommended_analysis_type,recording_profile_group,cluster,pca_1,pca_2
nwb_ca1,26863_2020-Nov-05_10-26-23,26863_Ash,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.783138618350549,-3.6609731219348975
nwb_ca1,26965_2020-Dec-07_15-52-32,26965_Bubinga,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.877945564628345,-3.9703716540029603
nwb_ca1,26965_2020-Dec-07_16-51-52,26965_Bubinga,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.877945564628345,-3.9703716540029603
nwb_ca1,26965_2020-Dec-08_10-46-12,26965_Bubinga,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.877945564628345,-3.9703716540029603
nwb_ca1,26965_2020-Dec-08_11-29-48,26965_Bubinga,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.9998479665188276,-4.306739094948064
nwb_ca1,26965_2020-Dec-08_14-36-11,26965_Bubinga,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.818601688265378,-3.786841255527369
nwb_ca1,26965_2020-Dec-09_11-52-59,26965_Bubinga,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.819713021219389,-3.7905135974639514
nwb_ca1,26965_2020-Dec-09_12-10-58,26965_Bubinga,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.818601688265378,-3.786841255527369
nwb_ca1,26965_2020-Dec-11_10-58-11,26965_Bubinga,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.819713021219389,-3.7905135974639514
nwb_ca1,26966_2020-Dec-14_15-18-10,26966_Cedar,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8411426022278836,-3.859222569549062
nwb_ca1,26966_2020-Dec-14_16-26-40,26966_Cedar,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8411426022278836,-3.859222569549062
nwb_ca1,26966_2020-Dec-15_11-47-50,26966_Cedar,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8411426022278836,-3.859222569549062
nwb_ca1,26966_2020-Dec-16_11-48-01,26966_Cedar,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8208413755905153,-3.7942297471235262
nwb_ca1,27284_2021-Jun-15_19-16-52,27284_Douglas,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.880128258885996,-3.5936916184896543
nwb_ca1,27284_2021-Jun-16_08-24-12,27284_Douglas,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8766412043392373,-3.5666596677991635
nwb_ca1,27284_2021-Jun-16_14-33-11,27284_Douglas,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8743799987215506,-3.5434235965941236
nwb_ca1,27284_2021-Jun-17_15-01-36,27284_Douglas,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.9023277565144032,-3.7088105736997923
nwb_ca1,27284_2021-Jun-18_11-01-41,27284_Douglas,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.934427937043447,-3.831766652547186
nwb_ca1,27285_2021-Jul-01_08-10-45,27285_Elm,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.9632235911852516,-3.4656103822807234
nwb_ca1,27285_2021-Jul-01_12-33-30,27285_Elm,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.9632235911852516,-3.4656103822807234
nwb_ca1,27285_2021-Jul-01_13-26-22,27285_Elm,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.134862206988887,-4.264633210058984
nwb_ca1,27285_2021-Jul-02_13-23-12,27285_Elm,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.155579292383992,-4.321725535263246
nwb_ca1,27285_2021-Jun-30_10-03-39,27285_Elm,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.9679943403318476,-3.4541620359867333
nwb_ca1,27285_2021-Jun-30_13-05-14,27285_Elm,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.9679943403318476,-3.4541620359867333
nwb_ca1,27285_2021-Jun-30_13-59-11,27285_Elm,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.987757871472976,-3.8012280845817754
nwb_ca1,27963_2022-Feb-08_21-14-27,27963_Hemlock,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.007965946823927,-3.8771261247447404
nwb_ca1,27963_2022-Feb-09_08-02-57,27963_Hemlock,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.985180762407822,-3.7908118176915733
nwb_ca1,27963_2022-Feb-10_11-06-56,27963_Hemlock,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.0594271144375367,-4.0455667103667805
nwb_ca1,27963_2022-Feb-10_14-07-47,27963_Hemlock,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.069177646403894,-4.075216460252083
nwb_ca1,27963_2022-Feb-11_14-58-41,27963_Hemlock,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.115428149647,-4.210096974452326
nwb_ca1,28003_2022-Mar-07_20-44-03,28003_Ironwood,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.14984478445049,-4.306019731079885
nwb_ca1,28003_2022-Mar-08_11-22-53,28003_Ironwood,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.0843169621877013,-4.120309419625041
nwb_ca1,28003_2022-Mar-08_11-38-59,28003_Ironwood,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.1104460544694814,-4.195941037578995
nwb_ca1,28003_2022-Mar-08_15-04-04,28003_Ironwood,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.055605215730974,-4.033797222835933
nwb_ca1,28003_2022-Mar-09_07-54-00,28003_Ironwood,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.031801816277626,-3.958219714883437
nwb_ca1,28003_2022-Mar-10_10-53-58,28003_Ironwood,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.168034389681638,-4.355603323623646
nwb_ca1,29629_2024-Oct-29_15-05-13,29629_Karri,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.2027790398767095,-4.590942133237944
nwb_ca1,29629_2024-Oct-30_05-40-15,29629_Karri,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.9633855038194024,-3.9283282176203724
nwb_ca1,29629_2024-Oct-30_15-13-05,29629_Karri,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-3.1895788754094885,-4.557105753734211
nwb_ca1,29630_2024-Sep-17_07-08-26,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8747210794862514,-3.5474927897648585
nwb_ca1,29630_2024-Sep-17_09-22-08,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8841704934204135,-3.619444969719876
nwb_ca1,29630_2024-Sep-17_13-26-08,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8957966735125384,-3.3865528466268486
nwb_ca1,29630_2024-Sep-17_23-09-30,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8743506941736374,-3.543059596619865
nwb_ca1,29630_2024-Sep-18_10-18-21,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8901365715302285,-3.6520735712480334
nwb_ca1,29630_2024-Sep-18_14-20-12,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8781009028588813,-3.4360864192663616
nwb_ca1,29630_2024-Sep-18_15-19-16,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8812903446006564,-3.6015340355944954
nwb_ca1,29630_2024-Sep-19_05-09-20,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.882374760699081,-3.6085030446379593
nwb_ca1,29630_2024-Sep-19_11-15-17,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8801555878565783,-3.4269608813040264
nwb_ca1,29630_2024-Sep-20_09-49-05,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8968664047059436,-3.6845622653543226
nwb_ca1,29630_2024-Sep-20_10-32-21,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8856163482286914,-3.408878764042321
nwb_ca1,29630_2024-Sep-20_13-20-20,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.876394345039825,-3.4454659510561365
nwb_ca1,29630_2024-Sep-24_14-25-53,29630_Juniper,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.8919945535436997,-3.3937673796948533
legacy_touchscreen,rat-14_190130,rat-14,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,3,-0.6652860036151494,4.0306476366762
