session_id,subject_id,context,repeat,toi,n_units_used,n_bins,duration_s,bin_size_s,fixed_units
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,36,0.0006543886180164349,50,153,1524.9801666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,37,0.0008087544668635443,50,153,1524.9893,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,38,0.000731896464233719,50,153,1524.9981666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,39,0.0006979837214320381,50,153,1524.9876666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,40,0.000654570977487232,50,153,1524.9829666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,41,0.0006396849995786024,50,153,1524.9877666666669,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,42,0.0005943581313748848,50,153,1524.9870666666668,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,43,0.0007130024430645596,50,153,1524.9795,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,44,0.0007233134917995889,50,153,1524.9843666666668,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,45,0.0007159215380950773,50,153,1524.9549666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,46,0.0006466936583885421,50,153,1524.9314000000002,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,47,0.0008209590175136149,50,153,1524.9675666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,48,0.0007455237446954368,50,153,1524.9976000000001,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,49,0.0007375767014885372,50,153,1524.9812,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,0,0.0005284282154188679,50,89,881.2149666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,1,0.0005392499903211147,50,89,881.2511666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,2,0.0005989071931766293,50,89,881.2388333333333,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,3,0.0007570265464325462,50,89,881.2515,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,4,0.00040916943921715415,50,89,881.2462666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,5,0.0007306778249585447,50,89,881.2392666666666,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,6,0.0005429754477104243,50,89,881.2319666666667,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,7,0.0005005581638365631,50,89,881.2256333333332,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,8,0.0006507566473299563,50,89,881.2417333333333,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,9,0.0006407329323129947,50,89,881.2414333333332,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,10,0.0006154987495046087,50,89,881.2514333333334,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,11,0.0006572652399923736,50,89,881.2414666666666,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,12,0.000627993886215781,50,89,881.2495333333334,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,13,0.0006414015851775407,50,89,881.2081,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,14,0.0005849176960246854,50,89,881.2357333333333,10.0,50
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,15,0.0005478321082129982,50,89,881.2388666666667,10.0,50
