lag_index,lag_value_s,mean_distance,median_distance,n_pairs,session_id,subject_id,context
19,190.0,0.9898863839318726,0.9860989882579377,60,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
20,200.0,0.9976157952643658,1.0240249174720832,59,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
1,10.0,0.9066960226804822,0.9286499030386026,56,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
2,20.0,0.9610316271506977,0.9785117087526313,55,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
3,30.0,0.8705077920240347,0.8796009600133998,54,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
4,40.0,0.9049503572990311,0.9011760600888766,53,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
5,50.0,1.0004150207416576,1.009417012166066,52,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
6,60.0,0.9988219517437538,1.0471872663571669,51,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
7,70.0,0.9246195158597829,0.9026726100914098,50,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
8,80.0,1.0269461641513713,1.0744384186798832,49,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
9,90.0,1.0573624396751653,1.088691168100849,48,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
10,100.0,0.9988191735873992,1.016747909606063,47,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
11,110.0,0.9497113424912887,1.0007205496118226,46,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
12,120.0,1.0152563068459861,1.009615933584756,45,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
13,130.0,1.0588099397290314,1.1013188651951875,44,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
14,140.0,0.9484529898969417,0.9434210144555527,43,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
15,150.0,0.981833002112276,1.0158318364524797,42,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
16,160.0,1.051833302284189,1.0210110792979128,41,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
17,170.0,0.9862951152190499,0.9717453904518489,40,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
18,180.0,0.9812397823677182,0.9657392651827121,39,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
19,190.0,1.069190247518978,1.0687296789051546,38,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
20,200.0,1.0709181877875389,1.0874507004861875,37,26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field
1,10.0,0.6625526522938339,0.6456012968062519,102,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
2,20.0,0.7856692818006361,0.7932770704912517,101,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
3,30.0,0.8383582663700906,0.847298161600679,100,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
4,40.0,0.8506738958636533,0.8532559812289551,99,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
5,50.0,0.9133531029426194,0.9011163068416097,98,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
6,60.0,0.9251458342532802,0.9322639655110639,97,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
7,70.0,0.9613343340433652,0.9753350975343049,96,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
8,80.0,0.9357984834180327,0.9520442579982661,95,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
9,90.0,0.9421151001532426,0.9340511182403541,94,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
10,100.0,0.986070094150493,0.9934936359182025,93,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
11,110.0,0.9992309992986401,1.0109124721556313,92,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
12,120.0,0.9885839541748562,0.9976092087759793,91,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
13,130.0,0.9790648461256808,0.9827860097359213,90,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
14,140.0,0.9802530002720912,0.9893019953144444,89,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
15,150.0,1.006440217902872,1.0201863226428793,88,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
16,160.0,0.9981542991101212,1.0064644241789396,87,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
17,170.0,1.013493407398828,1.0206640326370424,86,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
18,180.0,1.0234832421663203,1.0375795526489269,85,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
19,190.0,1.0237708544941515,1.014199175340322,84,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
20,200.0,1.0353289331154938,1.0535185853456697,83,26966_2020-Dec-14_15-18-10,26966_Cedar,object_context
